first_allele,second_allele,"O(i,j)","E(i,j)","Rho(i,j)","E(i,j)*Rho(i,j)","var_observed(i,j)"
12,0,263.19999999999857,264.9493980000231,0.8222644376899674,217.85846776278436,215.03451520028221
12,17,667.6000000000146,668.7756180003558,0.8202216896344835,548.5442673825978,538.6662047995414
12,1,167.79999999999893,175.4955585000197,0.8193087008343358,143.78503803684734,136.91686319989833
12,5,262.9999999999982,275.55863040002254,0.8230418250950573,226.79627808512888,215.0766199998115
12,4,240.79999999999828,223.25117490002188,0.8295681063122953,185.20205439380618,198.60030720006316
12,16,632.2000000000128,630.3347388003149,0.8181588105029788,515.7139201155715,509.24646320044906
12,11,462.00000000000614,451.59590700015957,0.8280519480519278,373.9448705237594,378.2911199996006
12,10,242.59999999999815,255.17736630002352,0.8206100577081656,209.40111328528002,197.9029047999777
12,13,185.89999999999878,172.25932050002075,0.8268423883808557,142.43130798310045,153.0188238000065
12,3,350.60000000000224,350.99815230007965,0.8227609811751158,288.78758417706626,286.00159279987395
12,18,293.40000000000026,286.9417458000235,0.8278800272665229,237.55334033682715,241.17832879984354
12,15,140.19999999999908,142.63367220001945,0.8065620542082851,115.04290764891886,112.68687919992838
12,14,166.29999999999893,145.00456830001846,0.8308478653036769,120.47673603135156,137.61688620006362
12,19,164.799999999999,161.59380570001886,0.8158980582524344,131.84407229626657,133.91681919995943
12,9,153.499999999999,146.93224050001953,0.8215635179153199,120.71416840037588,125.63875500000076
12,8,289.5999999999998,275.4742068000227,0.8399861878452989,231.3945288196586,241.58263679988062
6,6,431.2000000000056,444.60564020028914,0.8192022263450623,364.2219302976486,349.5213311998379
6,7,986.8000000000278,1016.9945002007045,0.8207539521685892,834.7022553734472,790.4445151997278
6,0,357.00000000000244,355.12626800007286,0.817647058823516,290.36794854123127,289.3510199999202
6,17,874.4000000000251,896.3967880005827,0.8124885635864236,728.3121386860773,695.1484928001405
6,1,233.09999999999795,235.22636100005417,0.8033891033891084,188.97829525731626,186.1832878000445
6,5,373.5000000000024,369.34640640007376,0.8200535475234136,302.88383083340494,303.4999549995946
6,4,308.59999999999997,299.2358434000646,0.8303953337653859,248.48404805476338,254.35532080021002
6,16,877.500000000022,844.8723608005216,0.8372079772079446,707.3338801847054,719.2498749996702
6,11,645.7000000000116,605.2988620002852,0.8387021836766059,507.6654773366037,533.211430199772
6,10,338.4000000000016,342.02827580007187,0.8325059101654713,284.74056104726566,279.4297087997998
6,13,246.09999999999823,230.88865300005503,0.842787484762296,194.59006712207093,206.198695800059
6,3,461.20000000000624,470.46215180016225,0.8104509973980716,381.28652016448444,369.52589120001534
6,18,398.7000000000041,384.60382280007684,0.828367193378462,318.59318925552697,327.0907662003793
6,15,195.7999999999986,191.1797652000486,0.8219611848825392,157.14234632939758,160.1732472000105
6,14,184.69999999999854,194.35760780004767,0.8028695181375258,156.04379892078651,147.607718199968
6,19,226.89999999999836,216.59307620005083,0.8308065226972275,179.94694047805987,187.4803277999617
6,9,192.09999999999852,196.9413730000494,0.803071317022391,158.15796779134763,153.5319518001689
6,8,348.00000000000176,369.23324880007397,0.8147126436781482,300.8189962637797,281.0979199999401
7,7,583.800000000012,581.5703400504275,0.8147995889002817,473.86327398968535,468.8635511999053
7,0,412.4000000000052,406.1593340001005,0.8281280310378075,336.35192955313045,338.118524800276
7,17,1049.400000000028,1025.2125940007097,0.8194968553458765,840.1584968445704,837.9551928007843
7,1,272.3999999999986,269.02933050007334,0.8146842878120386,219.17396851900182,220.4359647997828
7,5,440.70000000000687,422.4229632001023,0.8199455411844575,346.36382516985003,357.46567020002607
7,4,341.8000000000014,342.2372317000884,0.8150965476886964,278.95638604927854,276.2634551999927
7,16,950.9000000000277,966.2839004006374,0.817867283626001,790.2919888322067,759.6257838005107
7,11,684.2000000000164,692.2827310003555,0.8218649517684581,568.9629133237436,552.9574072002059
7,10,405.10000000000434,391.17910790009876,0.8278696618118802,323.84531576512774,332.08787980017274
7,13,288.89999999999947,264.0682765000741,0.8390792661820665,221.5742156676452,240.74073580025208
7,3,568.0000000000095,538.0694459002083,0.8308098591549062,447.0334005639105,465.4475199997095
7,18,417.80000000000496,439.8729314001065,0.8272379128769555,363.8795657024923,342.12886320026007
7,15,209.49999999999844,218.65306260006483,0.8224821002386672,179.8382301509181,171.43219500014806
7,14,226.69999999999843,222.28757390006393,0.8195412439347186,182.17383482528908,184.76214220015905
7,19,260.49999999999807,247.7183681000686,0.8226103646833025,203.77569712155,212.93279499980628
7,9,215.0999999999985,225.24263650006603,0.8080427708042823,182.00568410077514,172.8846398000936
7,8,395.0000000000041,422.29354440010246,0.7982278481012489,337.086467213543,312.1794999999227
0,0,79.00000000000003,70.91377999998298,0.8518987341772142,60.41135941770695,67.17518000002141
0,17,372.300000000003,357.99596000007335,0.8287671232876551,296.69528191786327,305.7778541997384
0,1,98.49999999999959,93.9428699999798,0.822436548223355,77.26204973297877,80.81595500001038
0,5,158.3999999999992,147.5066879999638,0.8335858585858661,122.95948916360729,131.53818879994773
0,4,108.69999999999945,119.5064779999726,0.8205151793928321,98.05687923475307,88.95368620010804
0,16,321.800000000001,337.4185360000581,0.8144810441267762,274.8210015090556,260.0288951997577
0,11,247.89999999999816,241.73954000000631,0.8374747882210605,202.45077006616185,206.3809117998254
0,10,137.4999999999994,136.59658599996789,0.8269818181818254,112.96289304768351,113.33187500006794
0,13,80.89999999999995,92.21050999998093,0.8011124845488252,73.87099076759901,64.67910379993097
0,3,196.59999999999883,187.88950599998114,0.8374364191251319,157.3455150958142,163.86696880009615
0,18,143.5999999999992,153.6000759999623,0.8151810584958302,125.21187253868925,116.64758080011137
0,15,73.99999999999996,76.35188399998542,0.8175675675675669,62.42282408106911,60.39047999993261
0,14,69.80000000000005,77.62102599998448,0.8091690544412582,62.80853221316776,56.3825591999705
0,19,72.89999999999998,86.50125399998178,0.7924554183813433,68.54838742906641,57.66371179995443
0,9,82.99999999999997,78.65290999998471,0.8269879518072282,65.04500894456561,68.50222000001169
0,8,146.69999999999928,147.4614959999639,0.8244717109747864,121.57783190999186,120.51958219993868
17,17,453.20000000000596,451.8201800002936,0.8304501323918598,375.21412829855774,372.25219520040974
